Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand,Time-Limited Priority
Proper Job Theatre Company,Beowulf Research and Development,"£25,743",14-Sep-22,September,Q2,North,Kirklees,Music,"£30,000 and below",
Michael Stewart,The Dogs Exhibition,"£14,500",14-Sep-22,September,Q2,North,Calderdale,Combined arts,"£30,000 and below",
Yorkshire Youth and Music,R&D Mentoring and training music leaders,"£29,520",14-Sep-22,September,Q2,North,Kirklees,Music,"£30,000 and below",
Alice Greening,Yaga,"£25,045",13-Sep-22,September,Q2,Midlands,Stratford-on-Avon,Theatre,"£30,000 and below",
Akasha Dance Theatre,Exoskeleton,"£22,529",13-Sep-22,September,Q2,South East,Fenland,Theatre,"£30,000 and below",
The Word Factory,The New Story,"£14,500",13-Sep-22,September,Q2,South West,Cornwall,Literature,"£30,000 and below",
Lytisha Fiona Tunbridge,Developing MRI VR Poetry Experience,"£29,913",13-Sep-22,September,Q2,Midlands,Nottingham,Literature,"£30,000 and below",
"University of Exeter - Innovation, Impact & Business",COP27,"£19,500",13-Sep-22,September,Q2,South West,Exeter,Combined arts,"£30,000 and below",
HQ CAN CIC,HQ ADP (Artist Development Programme),"£29,999",13-Sep-22,September,Q2,Midlands,Leicester,Music,"£30,000 and below",
Common Players Theatre,Lifeboat Theatre Basecamp,"£6,800",13-Sep-22,September,Q2,South West,Mid Devon,Theatre,"£30,000 and below",
Jan Johnston,Sewing Memories: Make Do and Mend The D-Day Story Portsmouth,"£10,075",13-Sep-22,September,Q2,South West,Isle of Wight,Visual arts,"£30,000 and below",
Natalia Kasprzycka,GROUND - Soil~Clay~Cloth~Conversation,"£18,174",13-Sep-22,September,Q2,Midlands,Stoke-on-Trent,Visual arts,"£30,000 and below",
Kala The Arts,Diya Light it Up 2022,"£29,745",13-Sep-22,September,Q2,South West,Basingstoke and Deane,Dance,"£30,000 and below",
Stephanie Jayne Howarth,Community Choir Project,"£15,756",13-Sep-22,September,Q2,South West,Southampton,Theatre,"£30,000 and below",
Adrian Mark Ware,'A journey from A to B' resubmission,"£22,076",13-Sep-22,September,Q2,South West,Teignbridge,Combined arts,"£30,000 and below",
Megan Lord,LIGHTS! LIGHTS! LIGHTS!,"£38,790",13-Sep-22,September,Q2,South West,"Bristol, City of",Combined arts,"£30,000 and below",
Swindon Festival of Literature,"Swindon Festival of Literature, 2023 Programme","£23,460",13-Sep-22,September,Q2,South West,Swindon,Literature,"£30,000 and below",
Voices for Life,Stardust,"£30,000",13-Sep-22,September,Q2,South West,Wiltshire,Music,"£30,000 and below",
VoiceChoice,Opera Start,"£21,316",13-Sep-22,September,Q2,Midlands,Nottingham,Combined arts,"£30,000 and below",
Fizzog Productions LTD,Dancing Grannies Murder Mystery,"£21,695",13-Sep-22,September,Q2,Midlands,Dudley,Theatre,"£30,000 and below",
Tracey Thorne,Sugar Land: Legacy of Boulton & Watt Steam Engine in Jamaica,"£30,000",13-Sep-22,September,Q2,Midlands,Birmingham,Visual arts,"£30,000 and below",
Dean Leivers,Dependent Origination,"£29,992",13-Sep-22,September,Q2,Midlands,Blaby,Visual arts,"£30,000 and below",
Centre for Indian Classical Dance (CICD),Sustaining CICD,"£21,000",13-Sep-22,September,Q2,Midlands,Leicester,Dance,"£30,000 and below",
Daniel Scott,Verständnis (Understanding),"£28,000",13-Sep-22,September,Q2,Midlands,Broxtowe,Theatre,"£30,000 and below",
Zoo Co Creative LTD,Perfect Show For Rachel + developing our access offer,"£80,199",12-Sep-22,September,Q2,London,Croydon,Theatre,"Above £30,000",
Black British Classical Foundation,Voices of Black Opera - platforming underrepresented voices and developing new audiences,"£62,509",12-Sep-22,September,Q2,London,Croydon,Music,"Above £30,000",
Jess De Carvalho,SPACE WASTE,"£6,500",7-Sep-22,September,Q2,South East,Rochford,Theatre,"£30,000 and below",
Sarina Kambach,Black Sheep 2022,"£26,436",7-Sep-22,September,Q2,London,Haringey,Theatre,"£30,000 and below",
Cross Corners Arts Centre (Mellor Community Primary School),Cross Corners Learning Through Arts,"£8,795",7-Sep-22,September,Q2,Midlands,Leicester,Combined arts,"£30,000 and below",
Atom Promotions,Grassroots Music Project 2022/23,"£29,500",7-Sep-22,September,Q2,South East,Worthing,Music,"£30,000 and below",Supporting Grassroots Live Music
B Team Theatre Company,The Garden in My Living Room R&D,"£20,980",7-Sep-22,September,Q2,Midlands,Derby,Theatre,"£30,000 and below",
Hawk Dance Theatre,CYP Library/Rural Touring: Creation & Tour,"£21,700",7-Sep-22,September,Q2,North,Manchester,Dance,"£30,000 and below",
Genevieve Say,Le Club Social,"£19,466",7-Sep-22,September,Q2,Midlands,Birmingham,Dance,"£30,000 and below",
Three Score Dance Company,A Decade of Bold Older Dance (create and diversify),"£28,996",7-Sep-22,September,Q2,South East,Brighton and Hove,Dance,"£30,000 and below",
Icarus Theatre Collective,Creative Captioning for Romeo & Juliet,"£40,920",7-Sep-22,September,Q2,South East,Buckinghamshire,Theatre,"£30,000 and below",
Anita Peacock,Write for WellBeing,"£23,561",7-Sep-22,September,Q2,South East,Colchester,Literature,"£30,000 and below",
Cue34 Theatre Company,In Tune,"£7,412",7-Sep-22,September,Q2,South East,Buckinghamshire,Theatre,"£30,000 and below",
Berrington Hall (National Trust),Berrington Hall Walled Garden,"£20,170",7-Sep-22,September,Q2,Midlands,"Herefordshire, County of",Visual arts,"£30,000 and below",
Kirklees Council,Time and Place,"£29,750",7-Sep-22,September,Q2,North,Kirklees,Combined arts,"£30,000 and below",
One Tenth Human,Curious Investigators tour spring 2023,"£29,953",7-Sep-22,September,Q2,North,Lancaster,Theatre,"£30,000 and below",
Staffordshire Wildlife Trust,Wildchild Festival,"£29,951",7-Sep-22,September,Q2,Midlands,Stafford,Combined arts,"£30,000 and below",
Avatara Ayuso,R&D Virtual Reality Choreography,"£28,754",7-Sep-22,September,Q2,Midlands,Warwick,Dance,"£30,000 and below",
Edmonton Community Partnership,TBC,"£29,774",7-Sep-22,September,Q2,London,Enfield,Theatre,"£30,000 and below",
Can't Sit Still,'Being Me' digital,"£32,000",7-Sep-22,September,Q2,South West,South Gloucestershire,Combined arts,"£30,000 and below",
Adam Glatherine,Light Organ 2022,"£29,889",7-Sep-22,September,Q2,North,Leeds,Visual arts,"£30,000 and below",
The Garage trust,codesigned youth led theatre programme,"£29,855",7-Sep-22,September,Q2,South East,Norwich,Theatre,"£30,000 and below",
Helen Jukes,Time to Write: Forever Milk,"£13,303",7-Sep-22,September,Q2,Midlands,Derbyshire Dales,Literature,"£30,000 and below",
Fauve Alice Bickerstaffe,Emerging from the Rubble,"£21,780",7-Sep-22,September,Q2,London,Croydon,Theatre,"£30,000 and below",
Pif-Paf Theatre Ltd,Sunshine on the Fallen Tree and Moths At Work on Your Doorstep,"£29,810",7-Sep-22,September,Q2,North,Sheffield,Theatre,"£30,000 and below",
Avin Shah,This Is Your Country Too - Prototyping,"£30,000",7-Sep-22,September,Q2,South East,Eastbourne,Combined arts,"£30,000 and below",
Jacqui Norton,"The Lyrics, The Music & The Money Series Two","£20,310",7-Sep-22,September,Q2,Midlands,North Northamptonshire,Music,"£30,000 and below",
Northern Rascals,SHED Pilot Tour,"£29,985",7-Sep-22,September,Q2,North,Calderdale,Dance,"£30,000 and below",
Lucy McCormick Ltd,Lucy McCormish & Friends: A Tribute Show (resubmission),"£32,145",7-Sep-22,September,Q2,London,Newham,Theatre,"£30,000 and below",
Lucy McCrudden,Back On The Road,"£32,500",7-Sep-22,September,Q2,South East,Guildford,Dance,"£30,000 and below",
Gary Washington,The Black Movement,"£29,445",7-Sep-22,September,Q2,North,Trafford,Music,"£30,000 and below",
Christian Czornyj,Catch Me - Digital Production,"£12,604",7-Sep-22,September,Q2,South East,Windsor and Maidenhead,Theatre,"£30,000 and below",
Parisa Eliyon,Acoustickle Seasons,"£29,950",7-Sep-22,September,Q2,Midlands,Rushcliffe,Music,"£30,000 and below",Supporting Grassroots Live Music
EGO Performance Company Ltd,Agatha Christmas,"£28,530",7-Sep-22,September,Q2,Midlands,Coventry,Theatre,"£30,000 and below",
Elisabetha Gruener Zabaleta,Mouthful of Fingers,"£6,811",7-Sep-22,September,Q2,South East,Epping Forest,Theatre,"£30,000 and below",
Vermillion,Vermillion Presents:,"£15,076",7-Sep-22,September,Q2,London,Westminster,Music,"£30,000 and below",
Yewande 103,"National presentation and audience engagement for Fountain, a new, immersive, CGI screen dance","£40,257",7-Sep-22,September,Q2,London,Lewisham,Dance,"£30,000 and below",
A&E Comedy Limited,Witch Hunt - Autumn 2022 Tour,"£27,750",7-Sep-22,September,Q2,South East,Brighton and Hove,Theatre,"£30,000 and below",
Broken Grey Wires,Exhibition and community engagement in Middlesbrough,"£28,955",7-Sep-22,September,Q2,North,Wigan,Visual arts,"£30,000 and below",
Alexandra Moxon,Welcome to You R&D Period,"£25,677",7-Sep-22,September,Q2,Midlands,Broxtowe,Theatre,"£30,000 and below",
Different Planet Arts,An Interactive Sensory Theatre  Project to Develop New Relax Cinema for Children and Young People with Complex Needs and their Families,"£14,620",7-Sep-22,September,Q2,South East,Lewes,Theatre,"£30,000 and below",
Little People Big Noise,Sabre for Southend,"£14,870",7-Sep-22,September,Q2,London,Wandsworth,Music,"£30,000 and below",
THE WHITE HOTEL LTD,Autumn/Winter 2022 Project,"£15,115",7-Sep-22,September,Q2,North,Salford,Music,"£30,000 and below",Supporting Grassroots Live Music
Lincolnshire County Council (Places Team),Scott House: Town Jewels,"£27,000",7-Sep-22,September,Q2,Midlands,Lincoln,Visual arts,"£30,000 and below",
Dancemind,In Full Swing,"£29,476",7-Sep-22,September,Q2,Midlands,West Northamptonshire,Dance,"£30,000 and below",
Jaffar Aly,The USB Project,"£16,699",7-Sep-22,September,Q2,London,Lewisham,Music,"£30,000 and below",Supporting Grassroots Live Music
Cape Farewell,Sirens at MAST Emergency Festival,"£8,619",6-Sep-22,September,Q2,South West,Dorset,Literature,"£30,000 and below",
Chinwe Odukwe,Nwanyibuife,"£18,161",6-Sep-22,September,Q2,London,Harrow,Visual arts,"£30,000 and below",
Caribbean UK Community Group,Carnival Celebration,"£20,000",6-Sep-22,September,Q2,London,Lewisham,Combined arts,"£30,000 and below",
Jennifer Grant,A Real Fiction - Schools and Rural Venue Tour,"£26,555",6-Sep-22,September,Q2,South West,Somerset West and Taunton,Theatre,"£30,000 and below",
Nooshin Rafati,Yeah Youth Music,"£28,000",6-Sep-22,September,Q2,London,Haringey,Music,"£30,000 and below",
Sarah Sigal,Stills,"£4,937",6-Sep-22,September,Q2,London,Lambeth,Theatre,"£30,000 and below",
Camille Dawson,The War Inside R&D,"£31,850",6-Sep-22,September,Q2,London,Lewisham,Combined arts,"£30,000 and below",
Svetlana Ochkovskaya,Fly Like a Butterfly,"£18,428",6-Sep-22,September,Q2,South West,Havant,Visual arts,"£30,000 and below",
Stuff and Nonsense Theatre Company,The Man Who Wanted to be a Penguin Remount,"£16,566",6-Sep-22,September,Q2,South West,Dorset,Theatre,"£30,000 and below",
Angelique Williamson,Cuckoolele,"£6,637",6-Sep-22,September,Q2,South West,Wiltshire,Music,"£30,000 and below",
[Foreign Affairs],The Wetsuitman,"£18,527",6-Sep-22,September,Q2,London,Hackney,Theatre,"£30,000 and below",
Levenshulme Old Library CIO,Ghosts at LOL,"£5,650",6-Sep-22,September,Q2,North,Manchester,Literature,"£30,000 and below",
-,Organisation & Artist Development,"£28,500",6-Sep-22,September,Q2,South West,"Bristol, City of",Music,"£30,000 and below",Supporting Grassroots Live Music
Tuyet Huynh,Destroy After Reading R&D,"£19,933",6-Sep-22,September,Q2,London,Waltham Forest,Combined arts,"£30,000 and below",
Little Toller Books,Pineapple Lane,"£100,000",5-Sep-22,September,Q2,South West,Dorset,Literature,"Above £30,000",
Rhys Morgan,The Queerest Sea,"£16,632",31-Aug-22,August,Q2,South West,Plymouth,Music,"£30,000 and below",
Creative Youth Network,Creating a Cultural Community Hub,"£28,394",31-Aug-22,August,Q2,South West,South Gloucestershire,Not discipline specific,"£30,000 and below",
Dens and Signals,Research & Development for May Wonders Never Cease,"£18,892",31-Aug-22,August,Q2,South East,Hastings,Theatre,"£30,000 and below",
Yen Chun Lin,"Here, a nut falls twice","£20,650",31-Aug-22,August,Q2,London,Southwark,Visual arts,"£30,000 and below",
Leah kirby,Dream Nails: Album 2 & Outreach,"£29,768",31-Aug-22,August,Q2,South East,Colchester,Music,"£30,000 and below",
Kevin Howlett,Bandit 31 October 2022,"£5,795",31-Aug-22,August,Q2,South West,Stroud,Music,"£30,000 and below",
Michael Dunne,TERF WARS,"£26,654",31-Aug-22,August,Q2,North,Liverpool,Combined arts,"£30,000 and below",
Benoit Parmentier,Being Waves,"£26,000",31-Aug-22,August,Q2,London,Hackney,Music,"£30,000 and below",
Raze Collective,Raze Introducing 2022/23,"£33,040",31-Aug-22,August,Q2,London,Hackney,Combined arts,"£30,000 and below",
Eggs Collective,Family Show R&D,"£31,383",31-Aug-22,August,Q2,North,Manchester,Theatre,"£30,000 and below",
Darren Brown,'Mind The Gap' Tour,"£1,008",31-Aug-22,August,Q2,London,Hillingdon,Visual arts,"£30,000 and below",
PaddleBoat Theatre Company,Diversifying our creative Workforce in Autumn 2022,"£24,848",31-Aug-22,August,Q2,South West,Exeter,Theatre,"£30,000 and below",
Lisa Wigham,Market House Endangered Crafts Workshops,"£17,600",31-Aug-22,August,Q2,North,Blackpool,Visual arts,"£30,000 and below",
Terrestrial,Wild in East Woodlands / Frome Artists for Change,"£19,956",31-Aug-22,August,Q2,South West,Mendip,Combined arts,"£30,000 and below",
Artmakers,Recacing Out 2,"£22,988",31-Aug-22,August,Q2,South West,North Devon,Visual arts,"£30,000 and below",
Circus Strong CIC,Ashbourne Aerial Arts Centre,"£26,988",31-Aug-22,August,Q2,Midlands,Derby,Theatre,"£30,000 and below",
Willy Hudson Ltd,Welcome Home,"£35,500",31-Aug-22,August,Q2,London,Barnet,Theatre,"£30,000 and below",
Adam Fuller,Prezzo Pop-Up Project,"£30,000",31-Aug-22,August,Q2,South West,North Somerset,Combined arts,"£30,000 and below",
Scratchworks Theatre Company,"Wild, Wild Woods Residency & The Snow Beast Tour","£32,412",31-Aug-22,August,Q2,South West,Exeter,Theatre,"£30,000 and below",
Gloria Williams,IMPERFECT BABY,"£29,681",31-Aug-22,August,Q2,London,Camden,Theatre,"£30,000 and below",
Coventry & Warwickshire Brass Network,Brass Explosion 2022,"£12,150",31-Aug-22,August,Q2,Midlands,Coventry,Music,"£30,000 and below",
The Yard Manchester Ltd,Yard Collective Season Launch,"£17,509",31-Aug-22,August,Q2,North,Manchester,Music,"£30,000 and below",Supporting Grassroots Live Music
Ampersand Projects,We Forest Folk,"£27,227",31-Aug-22,August,Q2,Midlands,Birmingham,Combined arts,"£30,000 and below",
Shallal,Knitted Together,"£29,995",31-Aug-22,August,Q2,South West,Cornwall,Visual arts,"£30,000 and below",
Woven Nest Theatre,Worlds Apart,"£31,960",31-Aug-22,August,Q2,North,Gateshead,Theatre,"£30,000 and below",
Bangladesh Youth League,Arts Development,"£29,850",31-Aug-22,August,Q2,South East,Luton,Combined arts,"£30,000 and below",
Aesop Arts and Society Limited,Dance to Health for care homes,"£29,637",31-Aug-22,August,Q2,South East,West Oxfordshire,Dance,"£30,000 and below",
Reading Repertory Theatre,2022 Dear Mr Scrooge,"£30,000",31-Aug-22,August,Q2,South East,Reading,Theatre,"£30,000 and below",
Matt Black Barn,Art and Education,"£26,998",31-Aug-22,August,Q2,South East,Chichester,Combined arts,"£30,000 and below",
HurlyBurly,'Garden' phase 2 and 'Meet me a Tree' touring,"£30,088",31-Aug-22,August,Q2,South East,Brighton and Hove,Theatre,"£30,000 and below",
Sarah Saeed,Lava Elastic 2022 tour & company development RESUBMISSION,"£33,577",31-Aug-22,August,Q2,South East,Brighton and Hove,Combined arts,"£30,000 and below",
Eska Mtungwazi,Woman & Machine R&D and libretto development,"£31,490",31-Aug-22,August,Q2,London,Southwark,Music,"£30,000 and below",
Jazz Midlands,Xhosa Cole Tour,"£29,950",31-Aug-22,August,Q2,Midlands,Birmingham,Music,"£30,000 and below",
Esther Huss,Stairwall - Northumberland and North Tyneside Tour,"£29,575",31-Aug-22,August,Q2,North,Northumberland,Combined arts,"£30,000 and below",
Bilal Hasna,'For a Palestinian' at Camden People's Theatre and Bristol Old Vic Theatre,"£22,932",31-Aug-22,August,Q2,London,Southwark,Theatre,"£30,000 and below",
Birmingham Hippodrome Theatre Trust Ltd,'Sharing the Light - Welcome to Diwali',"£23,000",31-Aug-22,August,Q2,Midlands,Birmingham,Combined arts,"£30,000 and below",
Kat Martin,Pick n Mix Production,"£29,957",31-Aug-22,August,Q2,North,Bradford,Theatre,"£30,000 and below",
Stitched-up-theatre,The Unravelling Fantasia of Miss H - 2023,"£29,500",31-Aug-22,August,Q2,South East,Brighton and Hove,Music,"£30,000 and below",
Small Pond Promotions,Bad Pond Festival,"£27,400",31-Aug-22,August,Q2,South East,Brighton and Hove,Music,"£30,000 and below",
Zoobin Surty,"Zoobin Surty - Mind the Dance, Research","£27,430",31-Aug-22,August,Q2,North,Leeds,Dance,"£30,000 and below",
Kayza Ekani-Rose,BLM Fest,"£30,639",31-Aug-22,August,Q2,London,Redbridge,Combined arts,"£30,000 and below",
Insight Society,Celebrating the Queen's Platinum Jubilee,"£14,980",31-Aug-22,August,Q2,Midlands,Wolverhampton,Combined arts,"£30,000 and below",
Sinead Rushe,Othello,"£14,498",31-Aug-22,August,Q2,London,Haringey,Theatre,"£30,000 and below",
Tamzen Moulding,Sorry for your loss R&D,"£12,576",31-Aug-22,August,Q2,South East,Milton Keynes,Theatre,"£30,000 and below",
Rachelle Francis,With & Without Diana; Drawing for Mental Health,"£29,500",31-Aug-22,August,Q2,South East,Thanet,Visual arts,"£30,000 and below",
White Hut Studios,White Hut Live,"£25,200",31-Aug-22,August,Q2,London,Croydon,Music,"£30,000 and below",
Marianamalena Theatre Company Ltd,Creating our Latinx community outside London - Touring The Two of Us and Playing Latinx,"£8,179",31-Aug-22,August,Q2,London,Hackney,Theatre,"£30,000 and below",
Wrongsemble,"A Town Called Christmas: a Gala,Durham & Wrongsemble festive co-production","£18,000",31-Aug-22,August,Q2,North,Leeds,Theatre,"£30,000 and below",
Richard Boggie,Chop Dissolve Burn 2022,"£36,000",31-Aug-22,August,Q2,North,Newcastle upon Tyne,Theatre,"£30,000 and below",
Heather Bandenburg,Sasquatch Research & Development,"£25,375",31-Aug-22,August,Q2,London,Croydon,Theatre,"£30,000 and below",
Beth Veitch,Waiting On It: Co-creation & Community Events - Resubmission,"£18,612",31-Aug-22,August,Q2,North,Newcastle upon Tyne,Dance,"£30,000 and below",
Access All Areas,Reshaping our national cultural leadership to include learning disabled and autistic voices,"£319,928",25-Aug-22,August,Q2,London,Hackney,Theatre,"Above £30,000 - Nationally Significant project",
Collusion,ART // TECH // PLAY,"£61,420",24-Aug-22,August,Q2,South East,Cambridge,Combined arts,"Above £30,000",
Claire Gebbett,Skills for Swills - Norfolk Basket Weaving Project,"£34,330",24-Aug-22,August,Q2,South East,Norwich,Visual arts,"£30,000 and below",
Ideas Hub Chelmsford,Chelmsford Light Parade 2023,"£20,212",24-Aug-22,August,Q2,South East,Chelmsford,Combined arts,"£30,000 and below",
Jo Blake Cave,HERESY: multi-arts project inspired by the rediscovered Gospel of Mary Magdalene,"£78,936",24-Aug-22,August,Q2,Midlands,West Northamptonshire,Combined arts,"Above £30,000",
PROJEKT EUROPA,Co-creating our artistic strategy 2023-2025,"£30,000",24-Aug-22,August,Q2,South East,Canterbury,Theatre,"£30,000 and below",
Boston Borough Council,Осветете,"£30,000",24-Aug-22,August,Q2,Midlands,Boston,Combined arts,"£30,000 and below",
Jonathan Syer,Northern Gravy Year 2 (Resubmission 3),"£21,660",24-Aug-22,August,Q2,Midlands,Chesterfield,Literature,"£30,000 and below",
Hastings Storytelling Festival,Hastings Storytelling Festival 2022,"£49,892",24-Aug-22,August,Q2,South East,Hastings,Combined arts,"Above £30,000",
Joseph Goodlink,Supporting children to express themselves through spoken word,"£29,420",24-Aug-22,August,Q2,London,Barnet,Literature,"£30,000 and below",
Stute Theatre CIC,Cardboard Cosmos Research and Development RESUBMISSION,"£41,918",24-Aug-22,August,Q2,North,Manchester,Theatre,"Above £30,000",
Kirklees Libraries,Sharing Stories Standing Strong,"£38,584",24-Aug-22,August,Q2,North,Kirklees,Libraries,"Above £30,000",
Jeneece Bernard,Joint,"£12,159",24-Aug-22,August,Q2,London,Lewisham,Literature,"£30,000 and below",
Cambridge Jazz Festival C.I.C.,Cambridge Jazz Festival 2022,"£30,000",24-Aug-22,August,Q2,South East,Cambridge,Music,"£30,000 and below",
PARVEZ QADIR,Breaking Barriers - Co-creation for Rochdale,"£29,887",24-Aug-22,August,Q2,North,Rochdale,Combined arts,"£30,000 and below",
Cabasa carnival Arts CIC,Cabasa 2022 - 2023,"£29,489",24-Aug-22,August,Q2,North,Tameside,Visual arts,"£30,000 and below",
Lucy Keany,Creative Play,"£22,950",24-Aug-22,August,Q2,South East,East Suffolk,Combined arts,"£30,000 and below",
Aidan Moesby,DA² : Digital Analogue : Disability Aesthetics,"£17,500",24-Aug-22,August,Q2,North,Gateshead,Combined arts,"£30,000 and below",
T A P E Collective,Free To Forage,"£18,780",24-Aug-22,August,Q2,London,Croydon,Combined arts,"£30,000 and below",
Rcreatives,Rcreatives Online Readings,"£5,221",24-Aug-22,August,Q2,London,Islington,Theatre,"£30,000 and below",
RMBC Events Team,Rotherham Show 2022,"£90,811",24-Aug-22,August,Q2,North,Rotherham,Combined arts,"Above £30,000",
Sam Dawood,Censorship Project,"£14,519",24-Aug-22,August,Q2,London,Hackney,Visual arts,"£30,000 and below",
The Portland Inn Project CIC,The 100 Year Plan,"£96,000",24-Aug-22,August,Q2,Midlands,Stoke-on-Trent,Combined arts,"Above £30,000",
Iryna Upham,Babushka Kitchen,"£14,760",24-Aug-22,August,Q2,Midlands,Rushcliffe,Music,"£30,000 and below",
Maja Laskowska,Choreographies of Care,"£3,150",24-Aug-22,August,Q2,London,Southwark,Dance,"£30,000 and below",
SCOTTEE & FRIENDS LTD,Risk - A circus show,"£85,000",24-Aug-22,August,Q2,South East,Peterborough,Theatre,"Above £30,000",
Merseyside Dance Initiative,Accessible Digital Programme,"£29,999",24-Aug-22,August,Q2,North,Liverpool,Dance,"£30,000 and below",
Lakeside Arts,Moon Rabbit & Other Stories from China,"£28,579",24-Aug-22,August,Q2,Midlands,Nottingham,Theatre,"£30,000 and below",
Folk Arts Oxford Ltd,Hybrid concert development programme,"£29,010",24-Aug-22,August,Q2,South East,Vale of White Horse,Music,"£30,000 and below",Supporting Grassroots Live Music
Buy Art Fair Ltd,The Manchester Contemporary 2022,"£85,000",24-Aug-22,August,Q2,North,Trafford,Visual arts,"Above £30,000",
Fresh Artiste Management,Artist Development Scheme: 2022-23,"£27,640",24-Aug-22,August,Q2,North,Sheffield,Combined arts,"£30,000 and below",
Concerteenies,South Yorkshire Musical Stories,"£27,000",24-Aug-22,August,Q2,North,Sheffield,Music,"£30,000 and below",
Roberto Rusconi,Pulvis (Dust),"£30,000",24-Aug-22,August,Q2,London,Islington,Literature,"£30,000 and below",
Kitchen Sink Live,Real Eyes: North West Community Tour,"£28,254",24-Aug-22,August,Q2,North,Manchester,Theatre,"£30,000 and below",
Trigger Productions Ltd,GROW R&D,"£45,543",23-Aug-22,August,Q2,South West,North Somerset,Combined arts,"Above £30,000",
Contains Art CIO,Bedding in at East Quay,"£75,320",23-Aug-22,August,Q2,South West,Somerset West and Taunton,Visual arts,"Above £30,000",
Diverse Artists network,DAN Development,"£25,882",23-Aug-22,August,Q2,South West,"Bristol, City of",Not discipline specific,"£30,000 and below",
Handprint Theatre Ltd,Flarewave Festival,"£21,085",23-Aug-22,August,Q2,London,Waltham Forest,Combined arts,"£30,000 and below",
Monster Cat Theatre CIO,Monster Cat 2022/23 Brent & Ealing Workshops,"£30,000",23-Aug-22,August,Q2,London,Ealing,Theatre,"£30,000 and below",
Soldiers' Arts Academy C.I.C,Little Manfred,"£100,000",23-Aug-22,August,Q2,London,Camden,Theatre,"Above £30,000",
theconscioussisters,The Gathering,"£51,500",23-Aug-22,August,Q2,South West,Plymouth,Not discipline specific,"Above £30,000",
Baque Luar,Baque Luar - Album Recording and Launch,"£26,550",23-Aug-22,August,Q2,London,Lambeth,Music,"£30,000 and below",
Whiddon Autumn Festival,Whiddon Autumn Festival 2022,"£5,000",23-Aug-22,August,Q2,South West,West Devon,Combined arts,"£30,000 and below",
Grand Union Music Theatre Ltd,The mirror or the hammer,"£29,443",23-Aug-22,August,Q2,London,Tower Hamlets,Music,"£30,000 and below",
Peut-Être Theatre,"ZooMOVES: Accessible Children’s (4+) Podcast for & School Engagement Programme about animal awareness, in partnership with The London Zoo","£37,000",23-Aug-22,August,Q2,London,Westminster,Theatre,"Above £30,000",
Dovetail Music Workshops,Dovetail Orchestra,"£9,650",23-Aug-22,August,Q2,South West,"Bristol, City of",Music,"£30,000 and below",
Emma Barnard,Life Through The Lens: Isis,"£8,190",23-Aug-22,August,Q2,London,Redbridge,Visual arts,"£30,000 and below",
Nikki Northover,Choreography Geography - Dance Weavers,"£10,500",23-Aug-22,August,Q2,South West,Dorset,Dance,"£30,000 and below",
Mariana Lemos,Leah Clements Solo Exhibition at South Kiosk,"£24,951",23-Aug-22,August,Q2,London,Southwark,Visual arts,"£30,000 and below",
Maria Paul,Sweet Mother 2022,"£45,022",19-Aug-22,August,Q2,North,Sefton,Theatre,"Above £30,000 - Over £30k Touring project",
Seeta Patel Dance Ltd,Seeta Patel's Bharatnatayam reimagining of Stravinsky's The Rite of Spring - Touring large scale theatres and concerts halls with Bournemouth Symphony Orchestra,"£279,729",19-Aug-22,August,Q2,South West,"Bristol, City of",Dance,"Above £30,000 - Over £30k Touring project",
Rhiannon Faith Company,DROWNTOWN National Tour 22/23,"£74,500",19-Aug-22,August,Q2,South East,Harlow,Dance,"Above £30,000 - Over £30k Touring project",
Attenborough Centre for the Creative Arts,"Back to Back - London, Brighton & Leeds","£59,060",19-Aug-22,August,Q2,South East,Brighton and Hove,Theatre,"Above £30,000 - Over £30k Touring project",
Peut-Être Theatre,The Dark: Blind & Visually impaired accessible tour for ages 4+,"£44,500",19-Aug-22,August,Q2,London,Westminster,Dance,"Above £30,000 - Over £30k Touring project",
Florence Espeut-Nickless,DESTINY TOUR 2022,"£56,746",19-Aug-22,August,Q2,South West,Wiltshire,Theatre,"Above £30,000 - Over £30k Touring project",
Far From The Norm,Far From The Norm's RECK Spring 2023 Tour,"£99,999",19-Aug-22,August,Q2,London,Kingston upon Thames,Dance,"Above £30,000 - Over £30k Touring project",
Royal Shakespeare Company,RSC Touring,"£1,281,466",19-Aug-22,August,Q2,Midlands,Stratford-on-Avon,Theatre,"Above £30,000 - Over £30k Touring project",
Hatfield House Chamber Music Festival,Hatfield House Chamber Music Festival 2022,"£7,240",18-Aug-22,August,Q2,South East,Welwyn Hatfield,Music,"£30,000 and below",
Lauren Wilson,RW Mentoring scheme,"£30,000",18-Aug-22,August,Q2,South East,East Hertfordshire,Visual arts,"£30,000 and below",
Cohere Arts CIC,HerStory Opera Film,"£32,725",18-Aug-22,August,Q2,South East,East Suffolk,Music,"£30,000 and below",
UH Arts,Exhibition of Henry Moore's Coalmining Drawings,"£14,900",18-Aug-22,August,Q2,South East,Welwyn Hatfield,Visual arts,"£30,000 and below",
Madlove Ltd,FTLITL James Leadbitter ACE Application,"£30,000",18-Aug-22,August,Q2,South East,Thanet,Visual arts,"£30,000 and below",
Jonathon Prestney,‘BOUDICA' R&D and Cultural Outreach Project,"£24,501",18-Aug-22,August,Q2,South East,Colchester,Dance,"£30,000 and below",
